"Causa dos acidentes";"Frequencia";"Porcentagem"
"Demais Fenômenos da natureza";4;0,1
"Acessar a via sem observar a presenca dos outros veiculos";313;8,1
"Acesso irregular";41;1,1
"Acumulo de agua sobre o pavimento";27;0,7
"Acumulo de areia ou detritos sobre o pavimento";11;0,3
"Acumulo de oleo sobre o pavimento";14;0,4
"Afundamento ou ondulacao no pavimento";6;0,2
"Animais na Pista";24;0,6
"area urbana sem a presenca de local apropriado para a travessia de pedestres";1;0
"Ausencia de reacao do condutor";270;7
"Ausencia de sinalizacao";11;0,3
"Avarias e/ou desgaste excessivo no pneu";63;1,6
"Carga excessiva e/ou mal acondicionada";20;0,5
"Chuva";49;1,3
"Condutor deixou de manter distancia do veiculo da frente";421;10,9
"Condutor Dormindo";94;2,4
"Condutor usando celular";8;0,2
"Conversao proibida";81;2,1
"Curva acentuada";4;0,1
"Declive acentuado";4;0,1
"Deficiencia do Sistema de Iluminacao/Sinalizacao";8;0,2
"Demais falhas mecanicas ou eletricas";129;3,3
"Demais falhas na via";9;0,2
"Desrespeitar a preferencia no cruzamento";233;6
"Desvio temporario";5;0,1
"Entrada inopinada do pedestre";19;0,5
"Estacionar ou parar em local proibido";6;0,2
"Falta de acostamento";7;0,2
"Falta de elemento de contencao que evite a saida do leito carrocavel";4;0,1
"Frear bruscamente";26;0,7
"Iluminacao deficiente";8;0,2
"Ingestao de alcool e/ou substancias psicoativas pelo pedestre";21;0,5
"Ingestao de alcool ou de substancias psicoativas pelo pedestre";6;0,2
"Ingestao de alcool pelo condutor";355;9,2
"Ingestao de substancias psicoativas pelo condutor";7;0,2
"Mal subito do condutor";37;1
"Manobra de mudanca de faixa";255;6,6
"Modificacao proibida";1;0
"Neblina";5;0,1
"Objeto estatico sobre o leito carrocavel";22;0,6
"Obras na pista";9;0,2
"Pedestre andava na pista";29;0,7
"Pedestre cruzava a pista fora da faixa";29;0,7
"Pista em desnivel";1;0
"Pista esburacada";10;0,3
"Pista Escorregadia";32;0,8
"Problema com o freio";13;0,3
"Problema na suspensao";2;0,1
"Reacao tardia ou ineficiente do condutor";364;9,4
"Restricao de visibilidade em curvas horizontais";2;0,1
"Restricao de visibilidade em curvas verticais";2;0,1
"Retorno proibido";15;0,4
"Semaforo com defeito";1;0
"Sinalizacao mal posicionada";5;0,1
"Trafegar com motocicleta (ou similar) entre as faixas";89;2,3
"Transitar na contramao";90;2,3
"Transitar no acostamento";12;0,3
"Ultrapassagem Indevida";107;2,8
"Velocidade Incompativel";430;11,1
